Ülke,Tıklamalar,Gösterimler,TO,Pozisyon
Türkiye,4,175,2.29%,7.62
Rusya,0,3,0%,33
Hindistan,0,3,0%,45
Amerika Birleşik Devletleri,0,2,0%,27
Brezilya,0,1,0%,1
Almanya,0,1,0%,1
İrlanda,0,1,0%,2
Etiyopya,0,1,0%,29
Endonezya,0,1,0%,32
Bulgaristan,0,1,0%,34
İspanya,0,1,0%,35
Burkina Faso,0,1,0%,43
İngiltere,0,1,0%,43
Belarus,0,1,0%,44
Togo,0,1,0%,45
Mısır,0,1,0%,47
Hırvatça,0,1,0%,59
Arjantin,0,1,0%,61
Filipinler,0,1,0%,62
Colombia,0,1,0%,74
