Mağaza kodu,İşletme adı,Adres,Etiketler,Google Arama - Mobil,Google Arama - Masaüstü,Google Haritalar - Mobil,Google Haritalar - Masaüstü,Telefonla arama,Mesajlar,Rezervasyonlar,Yol tarifi,Web sitesi tıklamaları,Yemek siparişleri,Yemek menüsünün tıklanma sayısı,Otel rezervasyonu sayısı
,,,,Mobil cihaz üzerinden Google Arama'da İşletme Profilinizi görüntüleyen kullanıcıların sayısı,Masaüstü cihaz üzerinden Google Arama'da İşletme Profilinizi görüntüleyen kullanıcıların sayısı,Mobil cihaz üzerinden Google Haritalar'da İşletme Profilinizi görüntüleyen kullanıcıların sayısı,Masaüstü cihaz üzerinden Google Haritalar'da İşletme Profilinizi görüntüleyen kullanıcıların sayısı,İşletme Profilinizdeki arama düğmesiyle kurulan etkileşimlerin sayısı,İşletme Profilinizden başlatılan görüşmelerin sayısı,İşletme Profilinizden yapılan rezervasyonların sayısı,İşletme Profilinizden iletilen yol tarifi isteklerinin sayısı,İşletme Profilinizdeki web sitesi düğmesiyle kurulan etkileşimlerin sayısı,"Teslim alma veya adrese teslim seçeneğiyle, Google İşletme Profilinizden bir Order with Google sağlayıcısı aracılığıyla verilen yemek siparişlerinin sayısı","Teslim alma veya adrese teslim seçeneğiyle, Google İşletme Profilinizden bir Order with Google sağlayıcısı aracılığıyla verilen yemek siparişlerinin sayısı",Otel tedarikçisinin ücretsiz rezervasyon bağlantısıyla kurulan etkileşimlerin sayısı
17282296588918273080,Webcraft Web Tasarım ve Dijital Pazarlama Ajansı,"Babataşı Mahallesi 778 Sokak No:32/A, 48300 Fethiye/Muğla",,36,47,23,16,0,0,0,47,2,0,0,0
